UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Inspection Summary,Recommended Action,Action Category
127,L47306,L,299.0,308.6,1329,60.5,36.0,33.08,No Failure,Engine ID 127 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
128,L47307,L,298.9,308.6,1413,46.5,37.0,33.44,No Failure,Engine ID 128 is operating within normal parameters with no failures detected. All readings are stable and within acceptable limits.,Continue regular monitoring and maintenance schedule.,Monitor
129,L47308,L,299.0,308.6,1587,38.6,38.0,33.79,No Failure,Engine ID 129 is operating within normal parameters with no failure detected. All readings are stable.,Continue monitoring and schedule next routine inspection.,Monitor
130,L47309,L,298.9,308.5,1559,34.3,39.0,34.15,No Failure,Engine ID 130 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue to monitor performance and schedule routine maintenance.,Monitor
131,L47310,L,298.8,308.4,1473,41.1,40.0,34.5,No Failure,Engine 131 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
132,L47311,L,298.8,308.4,1737,27.7,42.0,34.85,No Failure,"Engine ID 132 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
133,M14992,M,298.7,308.4,1441,43.2,52.0,35.21,No Failure,Engine ID 133 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance as scheduled.,Monitor
134,M14993,M,298.7,308.4,1430,49.6,44.0,35.56,No Failure,"Engine ID 134 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
135,L47314,L,298.8,308.4,1369,53.0,52.0,35.92,No Failure,Engine ID 135 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in the next operational cycle.,Monitor
136,M14995,M,298.8,308.5,1711,28.5,44.0,36.27,No Failure,Engine ID 136 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
137,H29550,H,298.7,308.5,1420,45.7,35.0,36.63,No Failure,Engine ID 137 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
138,L47317,L,298.7,308.6,1297,55.3,36.0,36.98,No Failure,Engine ID 138 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and maintenance schedule.,Monitor
139,H29552,H,298.8,308.6,1449,49.4,33.0,37.34,No Failure,Engine ID 139 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
140,L47319,L,298.8,308.6,1268,55.8,23.0,37.69,No Failure,"Engine ID 140 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
141,L47320,L,298.8,308.6,1511,36.1,45.0,38.05,No Failure,Engine ID 141 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
142,L47321,L,298.7,308.5,1544,35.2,55.0,38.4,No Failure,Engine ID 142 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but acceptable for current operational hours.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
143,M15002,M,298.6,308.4,1778,28.2,45.0,38.75,No Failure,Engine ID 143 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
144,H29557,H,298.6,308.4,1407,50.5,34.0,39.11,No Failure,Engine ID 144 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
145,M15004,M,298.6,308.4,1391,42.4,34.0,39.46,No Failure,"Engine ID 145 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
146,L47325,L,298.5,308.4,1513,33.6,23.0,39.82,No Failure,"Engine ID 146 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
147,H29560,H,298.5,308.4,1612,36.1,42.0,40.17,No Failure,"Engine ID 147 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
148,L47327,L,298.4,308.4,1515,40.1,54.0,40.53,No Failure,Engine ID 148 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 20 operational hours.,Monitor
149,M15008,M,298.3,308.3,1379,48.0,55.0,40.88,No Failure,Engine ID 149 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 20 operational hours.,Monitor
150,L47329,L,298.4,308.3,1473,39.9,54.0,41.24,No Failure,Engine ID 150 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance as scheduled.,Monitor
151,L47330,L,298.4,308.3,1422,42.7,34.0,41.59,No Failure,"Engine ID 151 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
152,M15011,M,298.4,308.2,1463,37.6,33.0,41.95,No Failure,Engine ID 152 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are reasonable.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
153,M15012,M,298.4,308.2,1584,41.0,23.0,42.3,No Failure,Engine ID 153 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection.,Monitor
154,L47333,L,298.4,308.2,1850,27.0,24.0,42.65,No Failure,Engine ID 154 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
155,L47334,L,298.4,308.2,1528,36.2,36.0,43.01,No Failure,Engine ID 155 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
156,H29569,H,298.4,308.2,1987,19.8,34.0,43.36,No Failure,"Engine 156 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has low operational hours.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
157,M15016,M,298.4,308.1,1495,46.0,35.0,43.72,No Failure,Engine ID 157 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
158,H29571,H,298.4,308.2,1478,43.5,36.0,44.07,No Failure,Engine ID 158 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
159,M15018,M,298.4,308.2,1499,40.0,37.0,44.43,No Failure,Engine ID 159 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
160,L47339,L,298.4,308.2,1471,47.0,38.0,44.78,No Failure,Engine ID 160 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
161,L47340,L,298.4,308.2,1282,60.7,39.0,45.14,Overstrain Failure,Engine ID 161 shows signs of overstrain failure with elevated vibration levels and operating parameters. Immediate attention required.,Conduct a thorough inspection and assess load conditions; consider reducing operational load or implementing additional cooling measures.,Flag for Inspection
162,L47341,L,298.3,308.1,1412,52.3,40.0,45.49,Overstrain Failure,Engine ID 162 shows signs of overstrain failure with elevated vibration levels and torque readings. Operational parameters indicate potential stress on components.,"Conduct a thorough inspection of the engine components for wear and damage, and consider recalibrating the load to prevent further overstrain.",Flag for Inspection
163,L47342,L,298.3,308.1,1586,35.5,42.0,45.85,No Failure,"Engine ID 163 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
164,M15023,M,298.4,308.2,1468,43.8,52.0,46.2,No Failure,Engine 164 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
165,M15024,M,298.5,308.3,1440,43.6,44.0,46.55,No Failure,"Engine ID 165 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine shows stable performance at current operational hours.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
166,L47345,L,298.5,308.4,1733,26.0,52.0,46.91,No Failure,Engine ID 166 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
167,H29580,H,298.4,308.2,1612,32.6,44.0,47.26,No Failure,"Engine ID 167 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
168,H29581,H,298.4,308.3,1458,42.9,35.0,47.62,No Failure,Engine ID 168 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 50 operational hours.,Monitor
169,L47348,L,298.4,308.3,1433,62.3,36.0,47.97,Power Failure,Engine ID 169 is experiencing a power failure with normal operational parameters except for elevated vibration levels. Immediate attention is required to prevent further damage.,Conduct a thorough inspection of the engine components and address the vibration issue before resuming operation.,Flag for Inspection
170,L47349,L,298.4,308.3,1318,59.1,33.0,48.33,No Failure,Engine ID 170 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule the next inspection.,Monitor
171,M15030,M,298.4,308.2,1610,35.0,23.0,48.68,No Failure,"Engine ID 171 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule the next inspection in accordance with maintenance protocols.,Monitor
172,L47351,L,298.2,308.1,1462,50.8,45.0,49.04,Tool Wear Failure,"Engine ID 172 shows signs of tool wear failure with elevated vibration levels at 45.0. Operational parameters are within acceptable ranges, but monitoring is advised due to the wear indication.",Schedule immediate inspection and replacement of worn tools to prevent further damage.,Flag for Inspection
173,M15032,M,298.1,308.0,1924,20.8,55.0,49.39,Tool Wear Failure,Engine 173 shows signs of tool wear failure with elevated vibration levels at 55.0 and operational hours at 49.39. Immediate attention is required to prevent further damage.,Schedule a maintenance check to assess and replace worn tools.,Flag for Inspection
174,M15033,M,298.2,308.0,1591,33.7,45.0,49.75,Tool Wear Failure,"Engine ID 174 shows signs of tool wear failure with elevated vibration levels at 45.0. Operational parameters are within acceptable ranges, but monitoring is advised due to the wear indication.",Schedule immediate inspection and maintenance to address tool wear and reduce vibration levels.,Flag for Inspection
175,L47354,L,298.2,308.1,1306,58.3,34.0,50.1,No Failure,"Engine ID 175 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has completed 50.1 operational hours.",Continue regular monitoring and schedule the next inspection.,Monitor
176,L47355,L,298.2,308.1,1382,43.5,34.0,50.45,No Failure,"Engine ID 176 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule next inspection at 100 operational hours.,Monitor
177,L47356,L,298.2,308.1,1618,34.7,23.0,50.81,No Failure,Engine ID 177 is operating within normal parameters with no signs of failure. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
178,L47357,L,298.2,308.2,1988,21.4,42.0,51.16,No Failure,"Engine ID 178 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
179,L47358,L,298.2,308.2,1436,50.2,54.0,51.52,No Failure,Engine ID 179 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels closely during next operation and schedule a follow-up inspection if levels increase.,Monitor
180,L47359,L,298.2,308.3,1304,49.8,55.0,51.87,No Failure,Engine ID 180 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
181,L47360,L,298.2,308.3,1475,49.9,54.0,52.23,No Failure,Engine ID 181 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
182,H29595,H,298.2,308.3,1824,24.2,34.0,52.58,No Failure,Engine ID 182 is operating within normal parameters with no failure detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
183,M15042,M,298.1,308.2,1342,48.1,33.0,52.94,No Failure,Engine ID 183 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next inspection.,Monitor
184,L47363,L,298.1,308.2,1485,40.7,23.0,53.29,No Failure,Engine ID 184 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
185,L47364,L,298.2,308.2,1667,30.6,24.0,53.65,No Failure,"Engine ID 185 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
186,L47365,L,298.2,308.2,1446,38.2,36.0,54.0,No Failure,Engine ID 186 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
187,L47366,L,298.1,308.3,1301,56.0,34.0,54.35,No Failure,Engine ID 187 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
188,L47367,L,298.2,308.4,1379,43.1,35.0,54.71,No Failure,Engine ID 188 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
189,L47368,L,298.3,308.5,1606,33.6,36.0,55.06,No Failure,Engine ID 189 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next inspection at the standard interval.,Monitor
190,M15049,M,298.3,308.4,1539,43.4,37.0,55.42,No Failure,Engine ID 190 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
191,L47370,L,298.2,308.4,1477,49.9,38.0,55.77,No Failure,Engine ID 191 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
192,L47371,L,298.2,308.4,1666,34.6,39.0,56.13,No Failure,Engine ID 192 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
193,H29606,H,298.2,308.4,1398,51.8,40.0,56.48,No Failure,Engine ID 193 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
194,H29607,H,298.2,308.4,1678,34.6,42.0,56.84,No Failure,"Engine ID 194 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
195,M15054,M,298.2,308.5,2678,10.7,52.0,57.19,No Failure,Engine ID 195 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
196,L47375,L,298.3,308.5,1453,42.9,44.0,57.55,No Failure,"Engine ID 196 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
197,H29610,H,298.3,308.6,1432,49.5,52.0,57.9,No Failure,Engine ID 197 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
198,M15057,M,298.4,308.6,1527,40.9,44.0,58.25,No Failure,Engine ID 198 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
199,L47378,L,298.4,308.7,1588,35.0,35.0,58.61,No Failure,Engine ID 199 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
200,L47379,L,298.4,308.6,1433,47.1,36.0,58.96,No Failure,Engine ID 200 is operating within normal parameters with no failures detected. All readings are stable and within acceptable limits.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
201,L47380,L,298.4,308.6,1609,35.0,33.0,59.32,No Failure,Engine ID 201 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 40 operational hours.,Monitor
202,L47381,L,298.3,308.5,1575,41.2,23.0,59.67,No Failure,"Engine ID 202 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
203,M15062,M,298.4,308.5,1636,35.7,45.0,60.03,No Failure,"Engine 203 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and maintenance schedule.,Monitor
204,L47383,L,298.4,308.5,1490,37.9,55.0,60.38,No Failure,Engine ID 204 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable. Overall performance is stable after 60.38 operational hours.,Monitor vibration levels and schedule a routine check-up in the next operational cycle.,Monitor
205,L47384,L,298.4,308.5,1741,32.8,45.0,60.74,No Failure,"Engine ID 205 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are manageable.",Continue regular monitoring and schedule next inspection in accordance with operational guidelines.,Monitor
206,M15065,M,298.5,308.6,1344,53.0,34.0,61.09,No Failure,"Engine ID 206 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
207,L47386,L,298.5,308.7,1609,35.3,34.0,61.45,No Failure,Engine ID 207 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
208,M15067,M,298.4,308.7,1421,60.7,23.0,61.8,No Failure,Engine 208 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
209,L47388,L,298.4,308.6,1591,36.7,42.0,62.15,No Failure,"Engine ID 209 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are manageable.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
210,L47389,L,298.4,308.6,1477,44.0,54.0,62.51,No Failure,Engine ID 210 is operating within normal parameters with no failures detected. Vibration level is slightly elevated but acceptable. Overall performance is stable.,Monitor vibration levels during next inspection and continue regular maintenance.,Monitor
211,L47390,L,298.4,308.7,1523,36.1,55.0,62.86,No Failure,Engine ID 211 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
212,L47391,L,298.5,308.7,1575,33.9,54.0,63.22,No Failure,Engine ID 212 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
213,H29626,H,298.4,308.7,1344,52.9,34.0,63.57,No Failure,"Engine ID 213 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
214,L47393,L,298.4,308.7,1386,44.9,33.0,63.93,No Failure,Engine ID 214 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
215,M15074,M,298.3,308.6,1589,37.1,23.0,64.28,No Failure,"Engine ID 215 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
216,L47395,L,298.3,308.6,1548,40.3,24.0,64.64,No Failure,"Engine ID 216 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
217,L47396,L,298.3,308.6,1499,38.3,36.0,64.99,No Failure,Engine ID 217 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
218,L47397,L,298.3,308.5,1664,31.6,34.0,65.35,No Failure,"Engine ID 218 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are within limits.",Continue regular monitoring and maintenance schedule.,Monitor
219,L47398,L,298.3,308.6,1447,38.1,35.0,65.7,No Failure,Engine ID 219 is operating within normal parameters with no failure detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule the next inspection in accordance with operational hours.,Monitor
220,M15079,M,298.3,308.5,1434,46.2,36.0,66.05,No Failure,Engine 220 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
221,L47400,L,298.3,308.5,1416,52.7,37.0,66.41,No Failure,Engine ID 221 is operating within normal parameters with no failures detected. Vibration levels are acceptable and the engine has low operational hours.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
222,H29635,H,298.4,308.5,1827,24.3,38.0,66.76,No Failure,Engine ID 222 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
223,L47402,L,298.4,308.6,1304,45.0,39.0,67.12,No Failure,Engine ID 223 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
224,L47403,L,298.4,308.6,1569,34.4,40.0,67.47,No Failure,Engine 224 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
225,L47404,L,298.3,308.6,1584,29.3,34.56129032,67.83,No Failure,Engine ID 225 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
226,L47405,L,298.3,308.5,1362,53.8,34.27983871,68.18,No Failure,Engine 226 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
227,L47406,L,298.3,308.4,1329,49.2,33.9983871,68.54,No Failure,"Engine ID 227 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue to monitor performance and schedule routine maintenance.,Monitor
228,L47407,L,298.3,308.5,1539,36.1,33.71693548,68.89,No Failure,Engine ID 228 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue routine monitoring and maintenance as scheduled.,Monitor
229,M15088,M,298.3,308.5,1629,37.1,33.43548387,69.25,No Failure,Engine ID 229 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection at 100 operational hours.,Monitor
230,L47409,L,298.3,308.5,1538,32.2,33.15403226,69.6,No Failure,Engine ID 230 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
231,L47410,L,298.3,308.6,1570,34.8,32.87258065,69.95,No Failure,Engine ID 231 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
232,L47411,L,298.3,308.4,1408,43.1,32.59112903,70.31,No Failure,Engine 232 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule the next routine inspection.,Monitor
233,L47412,L,298.2,308.4,1424,47.6,32.30967742,70.66,No Failure,Engine ID 233 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
234,L47413,L,298.2,308.4,1512,34.9,32.02822581,71.02,No Failure,Engine ID 234 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
235,L47414,L,298.2,308.4,1478,42.9,31.74677419,71.37,No Failure,Engine 235 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
236,M15095,M,298.1,308.3,1680,33.7,31.46532258,71.73,No Failure,Engine 236 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
237,L47416,L,298.1,308.3,1495,38.7,31.18387097,72.08,No Failure,"Engine ID 237 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
238,M15097,M,298.0,308.1,1552,36.6,30.90241935,72.44,No Failure,Engine ID 238 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
239,L47418,L,297.9,308.1,1393,50.3,30.62096774,72.79,No Failure,Engine ID 239 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
240,L47419,L,298.0,308.2,1611,30.6,30.33951613,73.15,No Failure,"Engine ID 240 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has low operational hours.",Continue regular monitoring and maintenance schedule.,Monitor
241,M15100,M,298.0,308.1,1339,51.6,30.05806452,73.5,No Failure,Engine ID 241 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
242,L47421,L,298.0,308.1,1777,24.3,29.7766129,73.85,No Failure,Engine 242 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
243,L47422,L,298.0,308.2,1348,58.8,29.49516129,74.21,No Failure,Engine 243 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
244,L47423,L,298.0,308.2,1442,44.1,29.21370968,74.56,No Failure,"Engine ID 244 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has been running for 74.56 hours without issues.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
245,M15104,M,298.0,308.2,1395,49.1,28.93225806,74.92,No Failure,"Engine ID 245 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
246,M15105,M,297.9,308.1,1627,31.4,28.65080645,75.27,No Failure,"Engine ID 246 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and the engine has logged 75.27 operational hours.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
247,L47426,L,297.9,308.1,1585,33.5,28.36935484,75.63,No Failure,"Engine ID 247 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
248,L47427,L,298.0,308.2,1469,45.5,28.08790323,75.98,No Failure,"Engine ID 248 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
249,L47428,L,298.0,308.3,1362,56.8,27.80645161,76.34,No Failure,Engine ID 249 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
250,L47429,L,298.0,308.3,1405,56.2,27.525,76.69,No Failure,Engine 250 is operating within normal parameters with no failure detected. Vibration levels are acceptable and operational hours are low.,Continue routine monitoring and maintenance as scheduled.,Monitor
251,L47430,L,298.0,308.3,1662,32.7,27.24354839,77.05,No Failure,Engine ID 251 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
