UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Comment
110,L47289,L,298.9,308.7,1572,34.1,45.0,27.05,No Failure,"Technician inspected Engine #110. RPM at 1572, torque at 34.1 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 45.0. Engine has run for 27.1 hours. No failure detected."
111,L47290,L,298.8,308.6,1872,22.5,55.0,27.41,No Failure,"Technician inspected Engine #111. RPM at 1872, torque at 22.5 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 55.0. Engine has run for 27.4 hours. No failure detected."
112,H29525,H,298.7,308.6,1499,43.5,45.0,27.76,No Failure,"Technician inspected Engine #112. RPM at 1499, torque at 43.5 Nm. Air temp 298.7K, Process temp 308.6K. Vibration level recorded at 45.0. Engine has run for 27.8 hours. No failure detected."
113,M14972,M,298.8,308.7,1498,39.5,34.0,28.12,No Failure,"Technician inspected Engine #113. RPM at 1498, torque at 39.5 Nm. Air temp 298.8K, Process temp 308.7K. Vibration level recorded at 34.0. Engine has run for 28.1 hours. No failure detected."
114,M14973,M,298.8,308.6,1486,41.9,34.0,28.47,No Failure,"Technician inspected Engine #114. RPM at 1486, torque at 41.9 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 34.0. Engine has run for 28.5 hours. No failure detected."
115,L47294,L,298.8,308.6,1680,29.4,23.0,28.83,No Failure,"Technician inspected Engine #115. RPM at 1680, torque at 29.4 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 23.0. Engine has run for 28.8 hours. No failure detected."
116,L47295,L,298.8,308.6,1431,45.7,42.0,29.18,No Failure,"Technician inspected Engine #116. RPM at 1431, torque at 45.7 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 42.0. Engine has run for 29.2 hours. No failure detected."
117,L47296,L,298.9,308.7,1564,34.1,54.0,29.54,No Failure,"Technician inspected Engine #117. RPM at 1564, torque at 34.1 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 54.0. Engine has run for 29.5 hours. No failure detected."
118,L47297,L,298.8,308.6,1599,33.0,55.0,29.89,No Failure,"Technician inspected Engine #118. RPM at 1599, torque at 33.0 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 55.0. Engine has run for 29.9 hours. No failure detected."
119,M14978,M,298.8,308.6,1707,28.1,54.0,30.25,No Failure,"Technician inspected Engine #119. RPM at 1707, torque at 28.1 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 54.0. Engine has run for 30.2 hours. No failure detected."
120,L47299,L,298.7,308.5,1467,40.7,34.0,30.6,No Failure,"Technician inspected Engine #120. RPM at 1467, torque at 40.7 Nm. Air temp 298.7K, Process temp 308.5K. Vibration level recorded at 34.0. Engine has run for 30.6 hours. No failure detected."
121,L47300,L,298.9,308.7,1433,44.7,33.0,30.95,No Failure,"Technician inspected Engine #121. RPM at 1433, torque at 44.7 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 33.0. Engine has run for 30.9 hours. No failure detected."
122,L47301,L,298.9,308.7,1558,41.2,23.0,31.31,No Failure,"Technician inspected Engine #122. RPM at 1558, torque at 41.2 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 23.0. Engine has run for 31.3 hours. No failure detected."
123,L47302,L,299.0,308.8,1310,50.7,24.0,31.66,No Failure,"Technician inspected Engine #123. RPM at 1310, torque at 50.7 Nm. Air temp 299.0K, Process temp 308.8K. Vibration level recorded at 24.0. Engine has run for 31.7 hours. No failure detected."
124,L47303,L,298.9,308.7,1546,43.4,36.0,32.02,No Failure,"Technician inspected Engine #124. RPM at 1546, torque at 43.4 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 36.0. Engine has run for 32.0 hours. No failure detected."
125,L47304,L,298.9,308.7,1727,29.4,34.0,32.37,No Failure,"Technician inspected Engine #125. RPM at 1727, torque at 29.4 Nm. Air temp 298.9K, Process temp 308.7K. Vibration level recorded at 34.0. Engine has run for 32.4 hours. No failure detected."
126,L47305,L,298.9,308.6,1560,32.2,35.0,32.73,No Failure,"Technician inspected Engine #126. RPM at 1560, torque at 32.2 Nm. Air temp 298.9K, Process temp 308.6K. Vibration level recorded at 35.0. Engine has run for 32.7 hours. No failure detected."
127,L47306,L,299.0,308.6,1329,60.5,36.0,33.08,No Failure,"Technician inspected Engine #127. RPM at 1329, torque at 60.5 Nm. Air temp 299.0K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 33.1 hours. No failure detected."
128,L47307,L,298.9,308.6,1413,46.5,37.0,33.44,No Failure,"Technician inspected Engine #128. RPM at 1413, torque at 46.5 Nm. Air temp 298.9K, Process temp 308.6K. Vibration level recorded at 37.0. Engine has run for 33.4 hours. No failure detected."
129,L47308,L,299.0,308.6,1587,38.6,38.0,33.79,No Failure,"Technician inspected Engine #129. RPM at 1587, torque at 38.6 Nm. Air temp 299.0K, Process temp 308.6K. Vibration level recorded at 38.0. Engine has run for 33.8 hours. No failure detected."
130,L47309,L,298.9,308.5,1559,34.3,39.0,34.15,No Failure,"Technician inspected Engine #130. RPM at 1559, torque at 34.3 Nm. Air temp 298.9K, Process temp 308.5K. Vibration level recorded at 39.0. Engine has run for 34.1 hours. No failure detected."
131,L47310,L,298.8,308.4,1473,41.1,40.0,34.5,No Failure,"Technician inspected Engine #131. RPM at 1473, torque at 41.1 Nm. Air temp 298.8K, Process temp 308.4K. Vibration level recorded at 40.0. Engine has run for 34.5 hours. No failure detected."
132,L47311,L,298.8,308.4,1737,27.7,42.0,34.85,No Failure,"Technician inspected Engine #132. RPM at 1737, torque at 27.7 Nm. Air temp 298.8K, Process temp 308.4K. Vibration level recorded at 42.0. Engine has run for 34.9 hours. No failure detected."
133,M14992,M,298.7,308.4,1441,43.2,52.0,35.21,No Failure,"Technician inspected Engine #133. RPM at 1441, torque at 43.2 Nm. Air temp 298.7K, Process temp 308.4K. Vibration level recorded at 52.0. Engine has run for 35.2 hours. No failure detected."
134,M14993,M,298.7,308.4,1430,49.6,44.0,35.56,No Failure,"Technician inspected Engine #134. RPM at 1430, torque at 49.6 Nm. Air temp 298.7K, Process temp 308.4K. Vibration level recorded at 44.0. Engine has run for 35.6 hours. No failure detected."
135,L47314,L,298.8,308.4,1369,53.0,52.0,35.92,No Failure,"Technician inspected Engine #135. RPM at 1369, torque at 53.0 Nm. Air temp 298.8K, Process temp 308.4K. Vibration level recorded at 52.0. Engine has run for 35.9 hours. No failure detected."
136,M14995,M,298.8,308.5,1711,28.5,44.0,36.27,No Failure,"Technician inspected Engine #136. RPM at 1711, torque at 28.5 Nm. Air temp 298.8K, Process temp 308.5K. Vibration level recorded at 44.0. Engine has run for 36.3 hours. No failure detected."
137,H29550,H,298.7,308.5,1420,45.7,35.0,36.63,No Failure,"Technician inspected Engine #137. RPM at 1420, torque at 45.7 Nm. Air temp 298.7K, Process temp 308.5K. Vibration level recorded at 35.0. Engine has run for 36.6 hours. No failure detected."
138,L47317,L,298.7,308.6,1297,55.3,36.0,36.98,No Failure,"Technician inspected Engine #138. RPM at 1297, torque at 55.3 Nm. Air temp 298.7K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 37.0 hours. No failure detected."
139,H29552,H,298.8,308.6,1449,49.4,33.0,37.34,No Failure,"Technician inspected Engine #139. RPM at 1449, torque at 49.4 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 33.0. Engine has run for 37.3 hours. No failure detected."
140,L47319,L,298.8,308.6,1268,55.8,23.0,37.69,No Failure,"Technician inspected Engine #140. RPM at 1268, torque at 55.8 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 23.0. Engine has run for 37.7 hours. No failure detected."
141,L47320,L,298.8,308.6,1511,36.1,45.0,38.05,No Failure,"Technician inspected Engine #141. RPM at 1511, torque at 36.1 Nm. Air temp 298.8K, Process temp 308.6K. Vibration level recorded at 45.0. Engine has run for 38.0 hours. No failure detected."
142,L47321,L,298.7,308.5,1544,35.2,55.0,38.4,No Failure,"Technician inspected Engine #142. RPM at 1544, torque at 35.2 Nm. Air temp 298.7K, Process temp 308.5K. Vibration level recorded at 55.0. Engine has run for 38.4 hours. No failure detected."
143,M15002,M,298.6,308.4,1778,28.2,45.0,38.75,No Failure,"Technician inspected Engine #143. RPM at 1778, torque at 28.2 Nm. Air temp 298.6K, Process temp 308.4K. Vibration level recorded at 45.0. Engine has run for 38.8 hours. No failure detected."
144,H29557,H,298.6,308.4,1407,50.5,34.0,39.11,No Failure,"Technician inspected Engine #144. RPM at 1407, torque at 50.5 Nm. Air temp 298.6K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 39.1 hours. No failure detected."
145,M15004,M,298.6,308.4,1391,42.4,34.0,39.46,No Failure,"Technician inspected Engine #145. RPM at 1391, torque at 42.4 Nm. Air temp 298.6K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 39.5 hours. No failure detected."
146,L47325,L,298.5,308.4,1513,33.6,23.0,39.82,No Failure,"Technician inspected Engine #146. RPM at 1513, torque at 33.6 Nm. Air temp 298.5K, Process temp 308.4K. Vibration level recorded at 23.0. Engine has run for 39.8 hours. No failure detected."
147,H29560,H,298.5,308.4,1612,36.1,42.0,40.17,No Failure,"Technician inspected Engine #147. RPM at 1612, torque at 36.1 Nm. Air temp 298.5K, Process temp 308.4K. Vibration level recorded at 42.0. Engine has run for 40.2 hours. No failure detected."
148,L47327,L,298.4,308.4,1515,40.1,54.0,40.53,No Failure,"Technician inspected Engine #148. RPM at 1515, torque at 40.1 Nm. Air temp 298.4K, Process temp 308.4K. Vibration level recorded at 54.0. Engine has run for 40.5 hours. No failure detected."
149,M15008,M,298.3,308.3,1379,48.0,55.0,40.88,No Failure,"Technician inspected Engine #149. RPM at 1379, torque at 48.0 Nm. Air temp 298.3K, Process temp 308.3K. Vibration level recorded at 55.0. Engine has run for 40.9 hours. No failure detected."
150,L47329,L,298.4,308.3,1473,39.9,54.0,41.24,No Failure,"Technician inspected Engine #150. RPM at 1473, torque at 39.9 Nm. Air temp 298.4K, Process temp 308.3K. Vibration level recorded at 54.0. Engine has run for 41.2 hours. No failure detected."
151,L47330,L,298.4,308.3,1422,42.7,34.0,41.59,No Failure,"Technician inspected Engine #151. RPM at 1422, torque at 42.7 Nm. Air temp 298.4K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 41.6 hours. No failure detected."
152,M15011,M,298.4,308.2,1463,37.6,33.0,41.95,No Failure,"Technician inspected Engine #152. RPM at 1463, torque at 37.6 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 33.0. Engine has run for 42.0 hours. No failure detected."
153,M15012,M,298.4,308.2,1584,41.0,23.0,42.3,No Failure,"Technician inspected Engine #153. RPM at 1584, torque at 41.0 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 42.3 hours. No failure detected."
154,L47333,L,298.4,308.2,1850,27.0,24.0,42.65,No Failure,"Technician inspected Engine #154. RPM at 1850, torque at 27.0 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 24.0. Engine has run for 42.6 hours. No failure detected."
155,L47334,L,298.4,308.2,1528,36.2,36.0,43.01,No Failure,"Technician inspected Engine #155. RPM at 1528, torque at 36.2 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 36.0. Engine has run for 43.0 hours. No failure detected."
156,H29569,H,298.4,308.2,1987,19.8,34.0,43.36,No Failure,"Technician inspected Engine #156. RPM at 1987, torque at 19.8 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 34.0. Engine has run for 43.4 hours. No failure detected."
157,M15016,M,298.4,308.1,1495,46.0,35.0,43.72,No Failure,"Technician inspected Engine #157. RPM at 1495, torque at 46.0 Nm. Air temp 298.4K, Process temp 308.1K. Vibration level recorded at 35.0. Engine has run for 43.7 hours. No failure detected."
158,H29571,H,298.4,308.2,1478,43.5,36.0,44.07,No Failure,"Technician inspected Engine #158. RPM at 1478, torque at 43.5 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 36.0. Engine has run for 44.1 hours. No failure detected."
159,M15018,M,298.4,308.2,1499,40.0,37.0,44.43,No Failure,"Technician inspected Engine #159. RPM at 1499, torque at 40.0 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 37.0. Engine has run for 44.4 hours. No failure detected."
160,L47339,L,298.4,308.2,1471,47.0,38.0,44.78,No Failure,"Technician inspected Engine #160. RPM at 1471, torque at 47.0 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 38.0. Engine has run for 44.8 hours. No failure detected."
161,L47340,L,298.4,308.2,1282,60.7,39.0,45.14,Overstrain Failure,"Technician inspected Engine #161. RPM at 1282, torque at 60.7 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 39.0. Engine has run for 45.1 hours. Anomaly present. Further diagnostics required."
162,L47341,L,298.3,308.1,1412,52.3,40.0,45.49,Overstrain Failure,"Technician inspected Engine #162. RPM at 1412, torque at 52.3 Nm. Air temp 298.3K, Process temp 308.1K. Vibration level recorded at 40.0. Engine has run for 45.5 hours. Anomaly present. Further diagnostics required."
163,L47342,L,298.3,308.1,1586,35.5,42.0,45.85,No Failure,"Technician inspected Engine #163. RPM at 1586, torque at 35.5 Nm. Air temp 298.3K, Process temp 308.1K. Vibration level recorded at 42.0. Engine has run for 45.9 hours. No failure detected."
164,M15023,M,298.4,308.2,1468,43.8,52.0,46.2,No Failure,"Technician inspected Engine #164. RPM at 1468, torque at 43.8 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 52.0. Engine has run for 46.2 hours. No failure detected."
165,M15024,M,298.5,308.3,1440,43.6,44.0,46.55,No Failure,"Technician inspected Engine #165. RPM at 1440, torque at 43.6 Nm. Air temp 298.5K, Process temp 308.3K. Vibration level recorded at 44.0. Engine has run for 46.5 hours. No failure detected."
166,L47345,L,298.5,308.4,1733,26.0,52.0,46.91,No Failure,"Technician inspected Engine #166. RPM at 1733, torque at 26.0 Nm. Air temp 298.5K, Process temp 308.4K. Vibration level recorded at 52.0. Engine has run for 46.9 hours. No failure detected."
167,H29580,H,298.4,308.2,1612,32.6,44.0,47.26,No Failure,"Technician inspected Engine #167. RPM at 1612, torque at 32.6 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 44.0. Engine has run for 47.3 hours. No failure detected."
168,H29581,H,298.4,308.3,1458,42.9,35.0,47.62,No Failure,"Technician inspected Engine #168. RPM at 1458, torque at 42.9 Nm. Air temp 298.4K, Process temp 308.3K. Vibration level recorded at 35.0. Engine has run for 47.6 hours. No failure detected."
169,L47348,L,298.4,308.3,1433,62.3,36.0,47.97,Power Failure,"Technician inspected Engine #169. RPM at 1433, torque at 62.3 Nm. Air temp 298.4K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 48.0 hours. Anomaly present. Further diagnostics required."
170,L47349,L,298.4,308.3,1318,59.1,33.0,48.33,No Failure,"Technician inspected Engine #170. RPM at 1318, torque at 59.1 Nm. Air temp 298.4K, Process temp 308.3K. Vibration level recorded at 33.0. Engine has run for 48.3 hours. No failure detected."
171,M15030,M,298.4,308.2,1610,35.0,23.0,48.68,No Failure,"Technician inspected Engine #171. RPM at 1610, torque at 35.0 Nm. Air temp 298.4K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 48.7 hours. No failure detected."
172,L47351,L,298.2,308.1,1462,50.8,45.0,49.04,Tool Wear Failure,"Technician inspected Engine #172. RPM at 1462, torque at 50.8 Nm. Air temp 298.2K, Process temp 308.1K. Vibration level recorded at 45.0. Engine has run for 49.0 hours. Signs of tool wear observed. Recommend inspection."
173,M15032,M,298.1,308.0,1924,20.8,55.0,49.39,Tool Wear Failure,"Technician inspected Engine #173. RPM at 1924, torque at 20.8 Nm. Air temp 298.1K, Process temp 308.0K. Vibration level recorded at 55.0. Engine has run for 49.4 hours. Signs of tool wear observed. Recommend inspection."
174,M15033,M,298.2,308.0,1591,33.7,45.0,49.75,Tool Wear Failure,"Technician inspected Engine #174. RPM at 1591, torque at 33.7 Nm. Air temp 298.2K, Process temp 308.0K. Vibration level recorded at 45.0. Engine has run for 49.8 hours. Signs of tool wear observed. Recommend inspection."
175,L47354,L,298.2,308.1,1306,58.3,34.0,50.1,No Failure,"Technician inspected Engine #175. RPM at 1306, torque at 58.3 Nm. Air temp 298.2K, Process temp 308.1K. Vibration level recorded at 34.0. Engine has run for 50.1 hours. No failure detected."
176,L47355,L,298.2,308.1,1382,43.5,34.0,50.45,No Failure,"Technician inspected Engine #176. RPM at 1382, torque at 43.5 Nm. Air temp 298.2K, Process temp 308.1K. Vibration level recorded at 34.0. Engine has run for 50.5 hours. No failure detected."
177,L47356,L,298.2,308.1,1618,34.7,23.0,50.81,No Failure,"Technician inspected Engine #177. RPM at 1618, torque at 34.7 Nm. Air temp 298.2K, Process temp 308.1K. Vibration level recorded at 23.0. Engine has run for 50.8 hours. No failure detected."
178,L47357,L,298.2,308.2,1988,21.4,42.0,51.16,No Failure,"Technician inspected Engine #178. RPM at 1988, torque at 21.4 Nm. Air temp 298.2K, Process temp 308.2K. Vibration level recorded at 42.0. Engine has run for 51.2 hours. No failure detected."
179,L47358,L,298.2,308.2,1436,50.2,54.0,51.52,No Failure,"Technician inspected Engine #179. RPM at 1436, torque at 50.2 Nm. Air temp 298.2K, Process temp 308.2K. Vibration level recorded at 54.0. Engine has run for 51.5 hours. No failure detected."
180,L47359,L,298.2,308.3,1304,49.8,55.0,51.87,No Failure,"Technician inspected Engine #180. RPM at 1304, torque at 49.8 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 55.0. Engine has run for 51.9 hours. No failure detected."
181,L47360,L,298.2,308.3,1475,49.9,54.0,52.23,No Failure,"Technician inspected Engine #181. RPM at 1475, torque at 49.9 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 54.0. Engine has run for 52.2 hours. No failure detected."
182,H29595,H,298.2,308.3,1824,24.2,34.0,52.58,No Failure,"Technician inspected Engine #182. RPM at 1824, torque at 24.2 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 52.6 hours. No failure detected."
183,M15042,M,298.1,308.2,1342,48.1,33.0,52.94,No Failure,"Technician inspected Engine #183. RPM at 1342, torque at 48.1 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 33.0. Engine has run for 52.9 hours. No failure detected."
184,L47363,L,298.1,308.2,1485,40.7,23.0,53.29,No Failure,"Technician inspected Engine #184. RPM at 1485, torque at 40.7 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 53.3 hours. No failure detected."
185,L47364,L,298.2,308.2,1667,30.6,24.0,53.65,No Failure,"Technician inspected Engine #185. RPM at 1667, torque at 30.6 Nm. Air temp 298.2K, Process temp 308.2K. Vibration level recorded at 24.0. Engine has run for 53.6 hours. No failure detected."
186,L47365,L,298.2,308.2,1446,38.2,36.0,54.0,No Failure,"Technician inspected Engine #186. RPM at 1446, torque at 38.2 Nm. Air temp 298.2K, Process temp 308.2K. Vibration level recorded at 36.0. Engine has run for 54.0 hours. No failure detected."
187,L47366,L,298.1,308.3,1301,56.0,34.0,54.35,No Failure,"Technician inspected Engine #187. RPM at 1301, torque at 56.0 Nm. Air temp 298.1K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 54.4 hours. No failure detected."
188,L47367,L,298.2,308.4,1379,43.1,35.0,54.71,No Failure,"Technician inspected Engine #188. RPM at 1379, torque at 43.1 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 35.0. Engine has run for 54.7 hours. No failure detected."
189,L47368,L,298.3,308.5,1606,33.6,36.0,55.06,No Failure,"Technician inspected Engine #189. RPM at 1606, torque at 33.6 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 36.0. Engine has run for 55.1 hours. No failure detected."
190,M15049,M,298.3,308.4,1539,43.4,37.0,55.42,No Failure,"Technician inspected Engine #190. RPM at 1539, torque at 43.4 Nm. Air temp 298.3K, Process temp 308.4K. Vibration level recorded at 37.0. Engine has run for 55.4 hours. No failure detected."
191,L47370,L,298.2,308.4,1477,49.9,38.0,55.77,No Failure,"Technician inspected Engine #191. RPM at 1477, torque at 49.9 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 38.0. Engine has run for 55.8 hours. No failure detected."
192,L47371,L,298.2,308.4,1666,34.6,39.0,56.13,No Failure,"Technician inspected Engine #192. RPM at 1666, torque at 34.6 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 39.0. Engine has run for 56.1 hours. No failure detected."
193,H29606,H,298.2,308.4,1398,51.8,40.0,56.48,No Failure,"Technician inspected Engine #193. RPM at 1398, torque at 51.8 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 40.0. Engine has run for 56.5 hours. No failure detected."
194,H29607,H,298.2,308.4,1678,34.6,42.0,56.84,No Failure,"Technician inspected Engine #194. RPM at 1678, torque at 34.6 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 42.0. Engine has run for 56.8 hours. No failure detected."
195,M15054,M,298.2,308.5,2678,10.7,52.0,57.19,No Failure,"Technician inspected Engine #195. RPM at 2678, torque at 10.7 Nm. Air temp 298.2K, Process temp 308.5K. Vibration level recorded at 52.0. Engine has run for 57.2 hours. No failure detected."
196,L47375,L,298.3,308.5,1453,42.9,44.0,57.55,No Failure,"Technician inspected Engine #196. RPM at 1453, torque at 42.9 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 44.0. Engine has run for 57.5 hours. No failure detected."
197,H29610,H,298.3,308.6,1432,49.5,52.0,57.9,No Failure,"Technician inspected Engine #197. RPM at 1432, torque at 49.5 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 52.0. Engine has run for 57.9 hours. No failure detected."
198,M15057,M,298.4,308.6,1527,40.9,44.0,58.25,No Failure,"Technician inspected Engine #198. RPM at 1527, torque at 40.9 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 44.0. Engine has run for 58.2 hours. No failure detected."
199,L47378,L,298.4,308.7,1588,35.0,35.0,58.61,No Failure,"Technician inspected Engine #199. RPM at 1588, torque at 35.0 Nm. Air temp 298.4K, Process temp 308.7K. Vibration level recorded at 35.0. Engine has run for 58.6 hours. No failure detected."
200,L47379,L,298.4,308.6,1433,47.1,36.0,58.96,No Failure,"Technician inspected Engine #200. RPM at 1433, torque at 47.1 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 59.0 hours. No failure detected."
201,L47380,L,298.4,308.6,1609,35.0,33.0,59.32,No Failure,"Technician inspected Engine #201. RPM at 1609, torque at 35.0 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 33.0. Engine has run for 59.3 hours. No failure detected."
202,L47381,L,298.3,308.5,1575,41.2,23.0,59.67,No Failure,"Technician inspected Engine #202. RPM at 1575, torque at 41.2 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 23.0. Engine has run for 59.7 hours. No failure detected."
203,M15062,M,298.4,308.5,1636,35.7,45.0,60.03,No Failure,"Technician inspected Engine #203. RPM at 1636, torque at 35.7 Nm. Air temp 298.4K, Process temp 308.5K. Vibration level recorded at 45.0. Engine has run for 60.0 hours. No failure detected."
204,L47383,L,298.4,308.5,1490,37.9,55.0,60.38,No Failure,"Technician inspected Engine #204. RPM at 1490, torque at 37.9 Nm. Air temp 298.4K, Process temp 308.5K. Vibration level recorded at 55.0. Engine has run for 60.4 hours. No failure detected."
205,L47384,L,298.4,308.5,1741,32.8,45.0,60.74,No Failure,"Technician inspected Engine #205. RPM at 1741, torque at 32.8 Nm. Air temp 298.4K, Process temp 308.5K. Vibration level recorded at 45.0. Engine has run for 60.7 hours. No failure detected."
206,M15065,M,298.5,308.6,1344,53.0,34.0,61.09,No Failure,"Technician inspected Engine #206. RPM at 1344, torque at 53.0 Nm. Air temp 298.5K, Process temp 308.6K. Vibration level recorded at 34.0. Engine has run for 61.1 hours. No failure detected."
207,L47386,L,298.5,308.7,1609,35.3,34.0,61.45,No Failure,"Technician inspected Engine #207. RPM at 1609, torque at 35.3 Nm. Air temp 298.5K, Process temp 308.7K. Vibration level recorded at 34.0. Engine has run for 61.5 hours. No failure detected."
208,M15067,M,298.4,308.7,1421,60.7,23.0,61.8,No Failure,"Technician inspected Engine #208. RPM at 1421, torque at 60.7 Nm. Air temp 298.4K, Process temp 308.7K. Vibration level recorded at 23.0. Engine has run for 61.8 hours. No failure detected."
209,L47388,L,298.4,308.6,1591,36.7,42.0,62.15,No Failure,"Technician inspected Engine #209. RPM at 1591, torque at 36.7 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 42.0. Engine has run for 62.1 hours. No failure detected."
210,L47389,L,298.4,308.6,1477,44.0,54.0,62.51,No Failure,"Technician inspected Engine #210. RPM at 1477, torque at 44.0 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 54.0. Engine has run for 62.5 hours. No failure detected."
211,L47390,L,298.4,308.7,1523,36.1,55.0,62.86,No Failure,"Technician inspected Engine #211. RPM at 1523, torque at 36.1 Nm. Air temp 298.4K, Process temp 308.7K. Vibration level recorded at 55.0. Engine has run for 62.9 hours. No failure detected."
212,L47391,L,298.5,308.7,1575,33.9,54.0,63.22,No Failure,"Technician inspected Engine #212. RPM at 1575, torque at 33.9 Nm. Air temp 298.5K, Process temp 308.7K. Vibration level recorded at 54.0. Engine has run for 63.2 hours. No failure detected."
213,H29626,H,298.4,308.7,1344,52.9,34.0,63.57,No Failure,"Technician inspected Engine #213. RPM at 1344, torque at 52.9 Nm. Air temp 298.4K, Process temp 308.7K. Vibration level recorded at 34.0. Engine has run for 63.6 hours. No failure detected."
214,L47393,L,298.4,308.7,1386,44.9,33.0,63.93,No Failure,"Technician inspected Engine #214. RPM at 1386, torque at 44.9 Nm. Air temp 298.4K, Process temp 308.7K. Vibration level recorded at 33.0. Engine has run for 63.9 hours. No failure detected."
215,M15074,M,298.3,308.6,1589,37.1,23.0,64.28,No Failure,"Technician inspected Engine #215. RPM at 1589, torque at 37.1 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 23.0. Engine has run for 64.3 hours. No failure detected."
216,L47395,L,298.3,308.6,1548,40.3,24.0,64.64,No Failure,"Technician inspected Engine #216. RPM at 1548, torque at 40.3 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 24.0. Engine has run for 64.6 hours. No failure detected."
217,L47396,L,298.3,308.6,1499,38.3,36.0,64.99,No Failure,"Technician inspected Engine #217. RPM at 1499, torque at 38.3 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 65.0 hours. No failure detected."
218,L47397,L,298.3,308.5,1664,31.6,34.0,65.35,No Failure,"Technician inspected Engine #218. RPM at 1664, torque at 31.6 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 34.0. Engine has run for 65.3 hours. No failure detected."
219,L47398,L,298.3,308.6,1447,38.1,35.0,65.7,No Failure,"Technician inspected Engine #219. RPM at 1447, torque at 38.1 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 35.0. Engine has run for 65.7 hours. No failure detected."
220,M15079,M,298.3,308.5,1434,46.2,36.0,66.05,No Failure,"Technician inspected Engine #220. RPM at 1434, torque at 46.2 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 36.0. Engine has run for 66.0 hours. No failure detected."
